Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Family_size,Alone,Embarked_Q,Embarked_S
0,3,1,-0.5657364610748746,1,0,-0.512797473245395,2,0,0.0,1.0
1,1,0,0.6638610320657843,1,0,0.7787110681901361,2,0,0.0,0.0
1,3,0,-0.2583370877897099,0,0,-0.4991831777855486,1,1,0.0,1.0
1,1,0,0.4333115021019107,1,0,0.4119661516938024,2,0,0.0,1.0
0,3,1,0.4333115021019107,0,0,-0.49666201195965115,1,1,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.4884268759059396,1,1,1.0,0.0
0,1,1,1.893458525206443,0,0,0.3870066100174172,1,1,0.0,1.0
0,3,1,-2.1027333275006983,3,1,-0.23395653290113325,5,0,0.0,1.0
1,3,0,-0.1814872444684187,0,2,-0.43447392723173345,3,0,0.0,1.0
1,2,0,-1.180535207645204,1,0,-0.05251730460826452,2,0,0.0,0.0
1,3,0,-1.949033640858116,1,1,-0.3221973368075452,3,0,0.0,1.0
1,1,0,2.200857898491608,0,0,-0.1235294697268234,1,1,0.0,1.0
0,3,1,-0.719436147717457,0,0,-0.49666201195965115,1,1,0.0,1.0
0,3,1,0.7407108753870755,1,5,-0.02822940150789851,7,0,0.0,1.0
0,3,0,-1.180535207645204,0,0,-0.500611166109337,1,1,0.0,1.0
1,2,0,1.9703083685277343,0,0,-0.33631586543257114,1,1,0.0,1.0
0,3,1,-2.1027333275006983,4,1,-0.07159345371333521,6,0,1.0,0.0
1,2,1,-0.10463740114712752,0,0,-0.39682384525411074,1,1,0.0,1.0
0,3,0,0.12591212881674602,1,0,-0.2959772122182114,2,0,0.0,1.0
1,3,0,-0.10463740114712752,0,0,-0.5133017064105745,1,1,0.0,0.0
0,2,1,0.4333115021019107,0,0,-0.13462259936077234,1,1,0.0,1.0
1,2,1,0.35646165878061953,0,0,-0.39682384525411074,1,1,0.0,1.0
1,3,0,-1.1036853643239128,0,0,-0.4970815339530805,1,1,1.0,0.0
1,1,1,-0.10463740114712752,0,0,0.05698600340743651,1,1,0.0,1.0
0,3,0,-1.6416342675729512,3,1,-0.23395653290113325,5,0,0.0,1.0
1,3,0,0.6638610320657843,1,5,-0.025960352264590758,7,0,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.5133017064105745,1,1,0.0,0.0
0,1,1,-0.7962859910387481,3,2,4.645507806540859,6,0,0.0,1.0
1,3,0,-0.10463740114712752,0,0,-0.5001069329441574,1,1,1.0,0.0
0,3,1,-0.10463740114712752,0,0,-0.4997721221224783,1,1,0.0,1.0
0,1,1,0.8175607187083667,0,0,-0.09991522213513719,1,1,0.0,0.0
1,1,0,-0.10463740114712752,1,0,2.2962007787978327,2,0,0.0,0.0
1,3,0,-0.10463740114712752,0,0,-0.5027128099418051,1,1,1.0,0.0
